reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
cd03ac23-1db9-410e-86b7-d7cc0cc0b876,Clara Waves,Tolong itu CS Debora Utami direvaluasi. Panduan transaksi nego dirubah se-enaknya sendiri terus. Sudah diganti tetap disalahkan. Endingnya terus tidak dibalas. Buta itu orang,1,0,,2026-03-05 20:56:59,"Halo kak Clara Waves,

Kami informasikan bahwasanya terkait transaksi negonya dapat diproses apabila sudah sesuai dengan syarat dan ketentuan yang berlaku. Jika ada hal yang masih kurang jelas, kakak dapat hubungi tim CS kami melalui menu Chat Support pada halaman side menu di aplikasi Stockbit.

Terima kasih",2026-03-06 10:00:52
c6fc70bb-c466-405a-8b71-efda8a92e633,Luthfi,"Apa mengaktifkan debugging itu kejahatan? Update terbaru app memblokir akses jika USB debugging aktif. Power user dipaksa pakai dua HP kalau gini ceritanya, ribet ....",1,0,3.19.3,2026-03-05 16:16:09,"Halo kak, terkait kendala tersebut silakan kakak dapat menonaktifkan USB Debugging pada pengaturan handphone kakak saat menggunakan aplikasi Stockbit. Jika masih terkendala segera hubungi tim CS kami melalui menu Chat Support pada halaman side menu di aplikasi Stockbit. Terima kasih",2026-03-06 08:46:01
9a9aff94-9d31-4c9e-9fd6-8a4aaf1f339f,Husni Aditya,tidak bisa digunakan setelah update terakhir,1,0,3.19.3,2026-03-05 09:17:37,"Halo kak Husni Aditya,

Terkait kendala yang kakak alami, kami sangat berterima kasih jika berkenan untuk menginformasikan detail kendala ke tim CS kami melalui menu Chat Support pada bagian side menu di aplikasi Stockbit atau email support@stockbit.com.
Tim kami akan segera memberikan bantuan.

Terima kasih dan kami tunggu feedbacknya.",2026-03-05 09:49:36
88fdde71-c270-41e4-9a98-6b0106fc4803,Reyhan Ahmad Pragiwaka,tidak bisa membuka chart. sudah clear cache dan reinstall. mohon solusinya,3,0,3.19.3,2026-03-05 07:34:05,"Halo kak, terkait kendala tersebut mohon pastikan menggunakan versi aplikasi Stockbit terbaru ya kak. Jika masih terkendala segera hubungi tim CS kami melalui menu Chat Support pada halaman side menu di aplikasi Stockbit. Terima kasih",2026-03-05 09:19:21
0ee18853-0362-4e08-b8e6-22289b9334b7,Walter Walter,ok,5,0,3.19.2,2026-03-04 17:17:34,"Hello,

We’re so happy to read your positive review 😊 We will continue striving to provide you with the best possible experience. If you have any suggestions, please feel free to send them to us at support@stockbit.com or reach out via the Chat Support menu in the Stockbit app.

Thank you, and have a wonderful day! 😉",2026-03-05 08:42:17
a9b62904-4eb4-4d1c-bd05-50f3da5c19f6,Rudi Adinugraha,Aplikasi terbaik sejauh ini untuk investor ritel unyu macam saya😂,5,0,,2026-03-04 11:02:58,"Halo kak,

Senangnya baca review positif dari Kakak :) Kami akan terus berupaya untuk memberikan pengalaman yang baik untuk Kakak. Jika ada saran silakan dapat kirimkan ke kami melalui email ke support@stockbit.com atau kakak bisa klik menu Chat Support di aplikasi Stockbit.

Terima kasih dan semoga hari kakak menyenangkan! 😉",2026-03-04 15:00:14
23c8d9df-9697-4ad2-bb91-f809042e665e,EKY,kalo bisa datafeed nya hilangin xixixi,5,0,3.19.2,2026-03-04 01:01:53,"Halo kak, terimakasih untuk bintang dan reviewnya, terkait biaya live datafeed merupakan aturan yang dikenakan oleh Bursa Efek Indonesia sebagai penyedia data bursa. Jika memerlukan bantuan segera hubungi tim CS kami melalui menu Chat Support pada halaman side menu di aplikasi Stockbit. Terima kasih
",2026-03-04 09:08:14
2093c16a-e1dd-4cc8-90b8-39b57b741838,Henry Widjaja,simply best stock broker in Indonesia,5,0,3.19.2,2026-03-03 16:56:12,"Hello Henry Widjaja,

We’re truly delighted that you’re enjoying our app 😊 Your review motivates us to keep delivering the best experience possible on Stockbit. If you ever need assistance, please don’t hesitate to contact our Customer Support team through the Chat Support menu in the Stockbit app.

Have a great day! 😉
",2026-03-04 08:49:06
9e58a25f-79ef-4e4c-84e0-15f431921511,Marthin Puguh D,ok,5,0,3.19.2,2026-03-03 15:45:02,"Hi,

Thank you so much for your review :) Your feedback truly means a lot and motivates us to keep improving your experience with the Stockbit app. If you ever need any help, feel free to contact our Customer Support team via the Chat Support option in the Side Menu of the app.

Thanks again, and wishing you a bright & wonderful day ahead!",2026-03-03 15:55:54
9cda417e-8dcc-4741-882c-6d6a359c5e15,Agus Sujanto,bagus,5,0,3.19.2,2026-03-02 15:22:26,"Halo kak,

Terima kasih banyak atas review yang Kakak berikan :) Ulasan dari Kakak membuat kami semakin semangat untuk terus menghadirkan pengalaman terbaik di aplikasi Stockbit. Jika butuh bantuan, jangan ragu untuk menghubungi tim CS kami melalui menu Chat Support di aplikasi Stockbit ya.

Semoga hari Kakak menyenangkan!🤩",2026-03-02 15:55:08
