reviewId,content,score,sentiment,clean_text,tokens,original_length,clean_length,polarity_before,polarity_after
cd03ac23-1db9-410e-86b7-d7cc0cc0b876,Tolong itu CS Debora Utami direvaluasi. Panduan transaksi nego dirubah se-enaknya sendiri terus. Sudah diganti tetap disalahkan. Endingnya terus tidak dibalas. Buta itu orang,1,negatif,tolong cs debora utami revaluasi pandu transaksi nego rubah enak sendiri terus sudah ganti tetap salah endingnya terus tidak balas buta orang,"['tolong', 'cs', 'debora', 'utami', 'revaluasi', 'pandu', 'transaksi', 'nego', 'rubah', 'enak', 'sendiri', 'terus', 'sudah', 'ganti', 'tetap', 'salah', 'endingnya', 'terus', 'tidak', 'balas', 'buta', 'orang']",24,22,0.0,0.0
c6fc70bb-c466-405a-8b71-efda8a92e633,"Apa mengaktifkan debugging itu kejahatan? Update terbaru app memblokir akses jika USB debugging aktif. Power user dipaksa pakai dua HP kalau gini ceritanya, ribet ....",1,negatif,apa aktif debugging jahat update baru aplikasi blokir akses jika usb debugging aktif power user paksa pakai dua hp kalau gin cerita ribet,"['apa', 'aktif', 'debugging', 'jahat', 'update', 'baru', 'aplikasi', 'blokir', 'akses', 'jika', 'usb', 'debugging', 'aktif', 'power', 'user', 'paksa', 'pakai', 'dua', 'hp', 'kalau', 'gin', 'cerita', 'ribet']",25,23,0.0,0.0
9a9aff94-9d31-4c9e-9fd6-8a4aaf1f339f,tidak bisa digunakan setelah update terakhir,1,negatif,tidak bisa guna telah update akhir,"['tidak', 'bisa', 'guna', 'telah', 'update', 'akhir']",6,6,0.0,0.0
88fdde71-c270-41e4-9a98-6b0106fc4803,tidak bisa membuka chart. sudah clear cache dan reinstall. mohon solusinya,3,neutral,tidak bisa buka chart sudah clear cache reinstall mohon solusi,"['tidak', 'bisa', 'buka', 'chart', 'sudah', 'clear', 'cache', 'reinstall', 'mohon', 'solusi']",11,10,0.09999999999999999,0.09999999999999999
0ee18853-0362-4e08-b8e6-22289b9334b7,ok,5,positif,ok,['ok'],1,1,0.5,0.5
a9b62904-4eb4-4d1c-bd05-50f3da5c19f6,Aplikasi terbaik sejauh ini untuk investor ritel unyu macam saya😂,5,positif,aplikasi baik jauh investor ritel unyu macam,"['aplikasi', 'baik', 'jauh', 'investor', 'ritel', 'unyu', 'macam']",10,7,0.0,0.0
23c8d9df-9697-4ad2-bb91-f809042e665e,kalo bisa datafeed nya hilangin xixixi,5,positif,kalau bisa datafeed nya hilangin xixixi,"['kalau', 'bisa', 'datafeed', 'nya', 'hilangin', 'xixixi']",6,6,0.0,0.0
2093c16a-e1dd-4cc8-90b8-39b57b741838,simply best stock broker in Indonesia,5,positif,simply best stock broker indonesia,"['simply', 'best', 'stock', 'broker', 'indonesia']",6,5,1.0,1.0
9e58a25f-79ef-4e4c-84e0-15f431921511,ok,5,positif,ok,['ok'],1,1,0.5,0.5
9cda417e-8dcc-4741-882c-6d6a359c5e15,bagus,5,positif,bagus,['bagus'],1,1,0.0,0.0
f015deef-a2f8-40fc-af07-7c998127911f,dana t0 gak bs di ambil,1,negatif,dana t tidak bisa ambil,"['dana', 't', 'tidak', 'bisa', 'ambil']",6,5,0.0,0.0
bf126543-0100-4e12-aa04-e7ae93be5eb3,setelah diupdate makin ribet harus verifikasi email dam nomor hp dulu lalo mau login. saran saya kembalikan sistem yang dulu biar bisa langsung login.,1,negatif,telah diupdate makin ribet harus verifikasi email dam nomor hp dulu lalo mau login saran kembali sistem dulu biar bisa langsung login,"['telah', 'diupdate', 'makin', 'ribet', 'harus', 'verifikasi', 'email', 'dam', 'nomor', 'hp', 'dulu', 'lalo', 'mau', 'login', 'saran', 'kembali', 'sistem', 'dulu', 'biar', 'bisa', 'langsung', 'login']",24,22,0.0,0.0
9d2120b6-cefc-4b9b-8378-520f6e649a15,Bagus,4,positif,bagus,['bagus'],1,1,0.0,0.0
6507040a-0e80-44af-8877-5c7e1957292c,penyelesaian masalah akun yang sudah di laporkan tidak kunjung selesai dan terus muncul dan sudah berbulan2 tidak selesai.,1,negatif,selesai masalah akun sudah lapor tidak kunjung selesai terus muncul sudah bulan tidak selesai,"['selesai', 'masalah', 'akun', 'sudah', 'lapor', 'tidak', 'kunjung', 'selesai', 'terus', 'muncul', 'sudah', 'bulan', 'tidak', 'selesai']",18,14,0.0,0.0
cc3129f9-c8e4-4b62-8bfa-6ed19938e69a,Work like chatnya ☆☆☆☆☆,5,positif,work like chatnya,"['work', 'like', 'chatnya']",4,3,0.0,0.0
4d3c644d-e3b0-407e-9cda-dc4acda4fdd1,stockbit update nya gg terus jadi makin sayang,5,positif,stockbit update nya gg terus jadi makin sayang,"['stockbit', 'update', 'nya', 'gg', 'terus', 'jadi', 'makin', 'sayang']",8,8,0.0,0.0
1c8f0a08-a4a3-4085-834d-b187a82372c8,easy to understand the float,5,positif,easy understand float,"['easy', 'understand', 'float']",5,3,0.43333333333333335,0.43333333333333335
0476f61e-789e-45c9-bfbc-4b9e52eb454a,"update: masalah sudah clear, thanks tim stockbit // // saat login lalu minta verifikasi device utama katanya tinggal klik lanjut pada device utama. lah ini saya login pakai device utama, notifikasi lanjutnya juga ga nyala orang gabisa login...",4,positif,update masalah sudah clear thanks tim stockbit saat login lalu minta verifikasi device utama kata tinggal klik lanjut pada device utama lah login pakai device utama notifikasi lanjut juga tidak nyala orang gabisa login,"['update', 'masalah', 'sudah', 'clear', 'thanks', 'tim', 'stockbit', 'saat', 'login', 'lalu', 'minta', 'verifikasi', 'device', 'utama', 'kata', 'tinggal', 'klik', 'lanjut', 'pada', 'device', 'utama', 'lah', 'login', 'pakai', 'device', 'utama', 'notifikasi', 'lanjut', 'juga', 'tidak', 'nyala', 'orang', 'gabisa', 'login']",38,34,0.15,0.15
0c5a7dac-5b94-411b-bc78-caa727a530a0,cs is not helping and the answer needs to be decipher first before I can get the help I need. Trusted device choose to not trust my device that is the same as the main device and I can't fix it. dang,1,negatif,cs not helping and answer needs be decipher first before i can get help i need trusted device choose not trust my device same as main device and i cant fix it dang,"['cs', 'not', 'helping', 'and', 'answer', 'needs', 'be', 'decipher', 'first', 'before', 'i', 'can', 'get', 'help', 'i', 'need', 'trusted', 'device', 'choose', 'not', 'trust', 'my', 'device', 'same', 'as', 'main', 'device', 'and', 'i', 'cant', 'fix', 'it', 'dang']",42,33,0.13888888888888887,0.13888888888888887
